trace_index,strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,labeled_on_figure
42,40,14,14,J 14->14,880,4001,2.350263210339e-09,2.993888980425e-09,#35f394,5,no
43,42,14,15,J 14->15,863,4001,1.829421505991e-09,2.119345492935e-09,#3cf58e,5,no
44,51,15,14,J 15->14,941,4001,2.675372133186e-10,3.861775587502e-10,#43f787,5,no
45,37,15,15,J 15->15,920,4001,4.197379931660e-09,2.327404932255e-09,#4ef97d,5,no
46,45,15,16,J 15->16,1004,4001,1.585397100785e-09,1.344240026419e-09,#55fa76,5,no
47,43,16,15,J 16->15,984,4001,1.819296780813e-09,1.325940917993e-09,#61fc6c,5,no
48,48,16,16,J 16->16,1068,4001,5.358847945618e-10,7.854755144506e-10,#69fd66,5,no
49,41,16,17,J 16->17,1188,4001,1.837097780545e-09,1.105160483610e-09,#71fe5f,5,no
50,46,17,16,J 17->16,1134,4001,5.830711041838e-10,3.020229384010e-10,#7dff56,5,no
51,50,17,17,J 17->17,1254,4001,3.532235265039e-10,6.882320973617e-10,#84ff51,5,no
52,49,17,18,J 17->18,1274,4001,4.644723302742e-10,7.586317106440e-10,#8bff4b,5,no
53,54,18,17,J 18->17,1329,4001,1.434280502282e-10,1.606861905371e-10,#96fe44,5,no
54,53,18,18,J 18->18,1345,4001,2.436921498084e-10,1.822556921621e-10,#9cfe40,5,no
55,47,18,19,J 18->19,1499,4001,5.480076709499e-10,4.385438837729e-10,#a4fc3c,5,no
56,56,19,18,J 19->18,1418,4001,1.064076925093e-10,9.194034693989e-11,#a9fb39,5,no
57,57,19,19,J 19->19,1578,4001,3.156955613924e-11,6.362906770777e-11,#affa37,5,no
58,52,19,20,J 19->20,1778,4001,2.580138435489e-10,1.410611463541e-10,#b7f735,5,no
59,62,20,19,J 20->19,1662,4001,1.569036985188e-11,2.617276242841e-11,#bcf534,5,no
60,58,20,20,J 20->20,1861,4001,2.973384960445e-11,2.595612527642e-11,#c1f334,5,no
61,55,20,21,J 20->21,2030,4001,1.263888982628e-10,9.374733581763e-11,#c8ef34,5,no
62,65,21,20,J 21->20,1958,4001,6.635561140627e-12,8.131818934854e-12,#cdec34,5,no
63,60,21,21,J 21->21,2126,4001,2.321643903892e-11,1.339301806930e-11,#d2e935,5,no
64,61,21,22,J 21->22,2355,4001,1.945408660648e-11,1.818962739581e-11,#d9e436,5,no
65,68,22,21,J 22->21,2280,4001,3.224385265780e-12,4.052877517241e-12,#dde037,5,no
66,66,22,22,J 22->22,2513,4001,5.427143123365e-12,6.178430137728e-12,#e3db38,5,no
67,64,22,23,J 22->23,2683,4001,9.846595645619e-12,7.811141920582e-12,#e7d739,5,no
68,71,23,22,J 23->22,2692,4001,5.793941106771e-13,1.257354743538e-12,#ebd339,5,no
69,69,23,23,J 23->23,2853,4001,2.682138184576e-12,3.674872488639e-12,#efcd3a,5,no
70,67,23,24,J 23->24,3274,4001,3.260299145389e-12,2.650027123284e-12,#f2c93a,5,no
71,72,24,23,J 24->23,3033,4001,3.317461913069e-13,3.941620830740e-13,#f5c53a,5,no
72,73,24,24,J 24->24,3475,4001,2.178679254828e-13,5.304122874171e-13,#f8be39,5,no
73,75,24,25,J 24->25,3735,4001,1.378889736478e-13,4.189362365641e-13,#faba39,5,no
74,74,25,24,J 25->24,3945,4001,1.679252552494e-13,2.047206927170e-13,#fcb336,5,no
75,76,25,25,J 25->25,4240,4001,1.125880121710e-13,2.358261887881e-13,#fdae35,5,no
76,70,25,26,J 25->26,4509,4001,8.220538106686e-13,4.321992511435e-13,#fea933,5,no
77,77,26,25,J 26->25,4578,4001,4.203204141671e-14,4.698046340895e-14,#fea130,5,no
78,78,26,26,J 26->26,4860,4001,4.176379890712e-14,8.513874929541e-14,#fe9b2d,5,no
79,81,26,27,J 26->27,5678,4001,1.675432182610e-14,5.391529929887e-14,#fe962b,5,no
80,79,27,26,J 27->26,5068,4001,2.966055542036e-14,2.777916822837e-14,#fd8d27,5,no
81,80,27,27,J 27->27,5910,4001,1.870548815559e-14,2.789408137400e-14,#fc8725,5,no
82,82,27,28,J 27->28,6690,4001,7.441698520978e-15,1.956311978188e-14,#fb7e21,5,no
83,84,28,27,J 28->27,6448,4001,2.126393182725e-15,3.886579132898e-15,#f9781e,5,no
84,85,28,28,J 28->28,7292,4001,1.694338364414e-15,4.798376342325e-15,#f8721c,5,no
85,83,28,29,J 28->29,8232,4001,4.789172462870e-15,8.262879864988e-15,#f56918,5,no
86,88,29,28,J 29->28,7563,4001,3.738548747174e-16,9.153007964482e-16,#f36315,5,no
87,87,29,29,J 29->29,8540,4001,4.814936447569e-16,1.809654180189e-15,#f15d13,5,no
88,86,29,30,J 29->30,8939,4001,1.019591099458e-15,1.933979431514e-15,#ed5510,5,no
89,90,30,29,J 30->29,9070,4001,1.183267066814e-16,1.870824018657e-16,#eb500e,5,no
90,91,30,30,J 30->30,9504,4001,6.200378017424e-17,3.862165207701e-16,#e84b0c,5,no
91,89,30,31,J 30->31,9935,4001,1.312481355503e-16,4.227334850483e-16,#e4450a,5,no
92,94,31,30,J 31->30,9701,4001,1.959135055458e-17,5.772267864198e-17,#e14109,5,no
93,92,31,31,J 31->31,10136,4001,2.986327369512e-17,8.952674082678e-17,#dc3b07,5,no
94,93,31,32,J 31->32,10598,4001,2.587590355040e-17,1.004119598684e-16,#d83706,5,no
95,95,32,31,J 32->31,10709,4001,7.664973583329e-18,1.510573809762e-17,#d43305,5,no
96,97,32,32,J 32->32,11217,4001,3.200002486768e-18,1.704296246529e-17,#ce2d04,5,no
97,96,32,33,J 32->33,12650,4001,3.872488063831e-18,2.106694049066e-17,#ca2a04,5,no
98,99,33,32,J 33->32,11932,4001,1.544314689261e-18,3.072397004117e-18,#c52603,5,no
99,102,33,33,J 33->33,13520,4001,5.182933412322e-19,3.888990147502e-18,#be2102,5,no
100,98,33,34,J 33->34,14005,4001,2.915932773900e-18,6.895424863581e-18,#b91e02,5,no
101,103,34,33,J 34->33,13874,4001,1.854995774618e-19,4.991598116181e-19,#b21a01,5,no
102,101,34,34,J 34->34,14593,4001,7.463938928294e-19,1.375232578268e-18,#ac1701,5,no
103,100,34,35,J 34->35,15611,4001,9.922545971653e-19,1.308234460516e-18,#a71401,5,no
104,106,35,34,J 35->34,14620,4001,2.882830677437e-20,1.062846411406e-19,#9e1001,5,no
105,105,35,35,J 35->35,15957,4001,6.457915175787e-20,2.111547818394e-19,#980e01,5,no
106,104,35,36,J 35->36,16021,4001,1.684953475680e-19,2.954942719339e-19,#920b01,5,no
107,109,36,35,J 36->35,15738,4001,6.730504231223e-21,2.139444224795e-20,#880802,5,no
108,108,36,36,J 36->36,16395,4001,1.096523500382e-20,4.885780751559e-20,#810602,5,no
109,107,36,37,J 36->37,17431,4001,2.056922548165e-20,4.424201555125e-20,#7a0403,5,no
